5/24/20,Fox-Hills_Culver-City_CA,18
5/24/20,Lawndale_CA,51
,Total,2115
5/25/20,Long-Beach_CA,946
5/25/20,Redondo-Beach_CA,197
5/25/20,Gardena_CA,97
5/25/20,Torrance_CA,303
5/25/20,Hawthorne_CA,91
5/25/20,Culver-City_CA,115
5/25/20,Playa-Vista_CA,52
5/25/20,Playa-Del-Rey_CA,225
5/25/20,El-Segundo_CA,39
5/25/20,Ladera-Heights_CA,16
5/25/20,Fox-Hills_Culver-City_CA,18
5/25/20,Lawndale_CA,51
,Total,2150
 ,,
